project,campaignid,sample,latitude,longitude,date,time,location,status,site,depth,observer,successful.count,successful.length,comment,fishnclips
Pilbara Marine Conservation Partnership,2014-10_Montebello.sanctuaries_stereoBRUVs,NCB579,-20.421535,115.6040733,20141030,10:02:00,NE.Montebello,Fished,14,9.5,Katrina,Yes,Yes,NA,Yes
Pilbara Marine Conservation Partnership,2014-10_Montebello.sanctuaries_stereoBRUVs,NCB580,-20.42809333,115.604955,20141030,10:05:00,NE.Montebello,Fished,14,10.7,Matt,Yes,No,NA,Yes
Pilbara Marine Conservation Partnership,2014-10_Montebello.sanctuaries_stereoBRUVs,NCB581,-20.43854333,115.60975,20141030,11:44:00,SE.Montebello.Sanctuary,No-take,15,11.3,Matt,Yes,Yes,NA,Yes
Pilbara Marine Conservation Partnership,2014-10_Montebello.sanctuaries_stereoBRUVs,NCB582,-20.43864,115.59759,20141030,11:47:00,SE.Montebello.Sanctuary,No-take,15,11.8,Katrina,Yes,Yes,NA,Yes
Pilbara Marine Conservation Partnership,2014-10_Montebello.sanctuaries_stereoBRUVs,NCB583,-20.43579333,115.5889083,20141030,11:52:00,SE.Montebello.Sanctuary,No-take,15,9.9,Katrina,Yes,Yes,NA,Yes
Pilbara Marine Conservation Partnership,2014-10_Montebello.sanctuaries_stereoBRUVs,NCB584,-20.44629,115.5859617,20141030,11:56:00,SE.Montebello.Sanctuary,No-take,15,11.5,Katrina,Yes,Yes,NA,Yes
Pilbara Marine Conservation Partnership,2014-10_Montebello.sanctuaries_stereoBRUVs,NCB585,-20.45501167,115.58639,20141030,11:59:00,SE.Montebello.Sanctuary,No-take,15,11.5,Matt,Yes,Yes,NA,Yes
Pilbara Marine Conservation Partnership,2014-10_Montebello.sanctuaries_stereoBRUVs,NCB586,-20.46391833,115.5854817,20141030,12:04:00,SE.Montebello.Sanctuary,No-take,16,11.9,Matt,Yes,Yes,NA,Yes
Pilbara Marine Conservation Partnership,2014-10_Montebello.sanctuaries_stereoBRUVs,NCB587,-20.47206833,115.5801467,20141030,12:08:00,SE.Montebello.Sanctuary,No-take,16,10.5,Matt,Yes,No,NA,Yes
Pilbara Marine Conservation Partnership,2014-10_Montebello.sanctuaries_stereoBRUVs,NCB588,-20.47937833,115.575085,20141030,12:11:00,SE.Montebello.Sanctuary,No-take,16,8.5,Emma,Yes,Yes,NA,Yes
Pilbara Marine Conservation Partnership,2014-10_Montebello.sanctuaries_stereoBRUVs,NCB589,-20.486645,115.5689567,20141030,12:15:00,SE.Montebello.Sanctuary,No-take,16,11.9,Emma,Yes,Yes,NA,Yes
Pilbara Marine Conservation Partnership,2014-10_Montebello.sanctuaries_stereoBRUVs,NCB590,-20.49486667,115.5635617,20141030,12:02:00,SE.Montebello.Sanctuary,No-take,16,8.9,Emma,Yes,Yes,NA,Yes
Pilbara Marine Conservation Partnership,2014-10_Montebello.sanctuaries_stereoBRUVs,NCB591,-20.50507167,115.5644133,20141030,13:49:00,SE.Montebello.Sanctuary,No-take,17,9.2,Emma,Yes,Yes,NA,Yes
Pilbara Marine Conservation Partnership,2014-10_Montebello.sanctuaries_stereoBRUVs,NCB592,-20.51542,115.5650367,20141030,13:55:00,SE.Montebello.Sanctuary,No-take,17,8.3,Emma,Yes,Yes,NA,Yes
Pilbara Marine Conservation Partnership,2014-10_Montebello.sanctuaries_stereoBRUVs,NCB593,-20.52320833,115.5661433,20141030,13:58:00,SE.Montebello.Sanctuary,No-take,17,11.3,Emma,Yes,Yes,NA,Yes
Pilbara Marine Conservation Partnership,2014-10_Montebello.sanctuaries_stereoBRUVs,NCB594,-20.53317608,115.5665489,20141030,14:03:00,SE.Montebello.Sanctuary,No-take,17,9.5,Emma,Yes,No,NA,No
Pilbara Marine Conservation Partnership,2014-10_Montebello.sanctuaries_stereoBRUVs,NCB595,-20.54322,115.5719783,20141030,14:08:00,SE.Montebello.Sanctuary,No-take,17,10.5,Emma,Yes,Yes,NA,Yes
Pilbara Marine Conservation Partnership,2014-10_Montebello.sanctuaries_stereoBRUVs,NCB596,-20.56196667,115.5803417,20141030,14:15:00,SE.Montebello,Fished,18,10.4,Emma,Yes,Yes,NA,Yes
Pilbara Marine Conservation Partnership,2014-10_Montebello.sanctuaries_stereoBRUVs,NCB597,-20.57062667,115.5806733,20141030,14:18:00,SE.Montebello,Fished,18,9.4,Emma,Yes,Yes,NA,Yes
Pilbara Marine Conservation Partnership,2014-10_Montebello.sanctuaries_stereoBRUVs,NCB598,-20.58195167,115.5806933,20141030,14:24:00,SE.Montebello,Fished,18,8.1,Emma,Yes,Yes,NA,Yes
Pilbara Marine Conservation Partnership,2014-10_Montebello.sanctuaries_stereoBRUVs,NCB599,-20.59034833,115.5799017,20141030,14:27:00,SE.Montebello,Fished,19,8.6,Emma,Yes,No,NA,Yes
Pilbara Marine Conservation Partnership,2014-10_Montebello.sanctuaries_stereoBRUVs,NCB600,-20.59953667,115.5771333,20141030,14:33:00,SE.Montebello,Fished,19,12,Emma,Yes,Yes,NA,Yes
Pilbara Marine Conservation Partnership,2014-10_Montebello.sanctuaries_stereoBRUVs,NCB601,-20.60800333,115.5763633,20141030,15:44:00,SE.Montebello,Fished,19,11.2,Emma,Yes,No,NA,No
Pilbara Marine Conservation Partnership,2014-10_Montebello.sanctuaries_stereoBRUVs,NCB602,-20.617625,115.5755133,20141030,15:48:00,SE.Montebello,Fished,19,8.2,Emma,Yes,No,NA,Yes
Pilbara Marine Conservation Partnership,2014-10_Montebello.sanctuaries_stereoBRUVs,NCB603,-20.61837333,115.5626983,20141030,15:54:00,SE.Montebello,Fished,19,10.5,Emma,Yes,No,NA,No
Pilbara Marine Conservation Partnership,2014-10_Montebello.sanctuaries_stereoBRUVs,NCB604,-20.61565667,115.5523667,20141030,15:57:00,SE.Montebello,Fished,19,11.2,Emma,Yes,No,NA,No
Pilbara Marine Conservation Partnership,2014-10_Montebello.sanctuaries_stereoBRUVs,NCB605,-20.61218667,115.5416667,20141030,16:02:00,SE.Montebello,Fished,19,8,Emma,Yes,Yes,NA,Yes
