Sample,fishnclips,Latitude,Longitude,Date,Time,Location,Status,Site,Depth,Observer,Successful.count,Successful.length,Comment
523,Yes,-33.5634333,115.1589167,20141215,8:35:00,Geographe.Bay,Fished,NA,26,Laura,Yes,Yes,NA
527,Yes,-33.5894167,115.2078167,20141212,6:16:00,Geographe.Bay,Fished,NA,26.8,laura,Yes,Yes,NA
528,Yes,-33.48105,115.4971,20141216,8:34:00,Geographe.Bay,Fished,NA,14,Lauren,Yes,Yes,NA
538,Yes,-33.5839167,115.3846667,20141217,5:53:00,Geographe.Bay,Fished,NA,11.6,Laura,Yes,Yes,NA
543,Yes,-33.5950333,115.2434,20141215,13:13:00,Geographe.Bay,Fished,NA,16.7,Lauren,Yes,Yes,NA
544,Yes,-33.4464167,115.43405,20141214,13:36:00,Geographe.Bay,Fished,NA,12.3,Lauren,Yes,Yes,NA
551,Yes,-33.5735167,115.3901333,20141217,5:58:00,Geographe.Bay,Fished,NA,11.7,Lizzy,Yes,Yes,NA
554,Yes,-33.55765,115.3835167,20141217,6:13:00,Geographe.Bay,Fished,NA,12.3,Laura,Yes,Yes,NA
560,Yes,-33.4381667,115.5268667,20141216,6:49:00,Geographe.Bay,Fished,NA,14.6,Lauren,Yes,Yes,NA
567,Yes,-33.5866833,115.2760167,20141217,8:23:00,Geographe.Bay,Fished,NA,17.4,Lizzy,Yes,Yes,NA
570,Yes,-33.5731333,115.1625333,20141215,8:31:00,Geographe.Bay,Fished,NA,24.6,Lauren,Yes,Yes,NA
572,Yes,-33.3913,115.5492167,20141214,10:54:00,Geographe.Bay,Fished,NA,8.1,Lauren,Yes,Yes,NA
579,Yes,-33.5017167,115.37405,20141216,13:10:00,Geographe.Bay,Fished,NA,22,Laura,Yes,Yes,NA
583,Yes,-33.47835,115.3932,20141214,13:55:00,Geographe.Bay,Fished,NA,12,Damon,Yes,Yes,NA
586,Yes,-33.5309167,115.38595,20141216,13:24:00,Geographe.Bay,Fished,NA,15.8,Lizzy,Yes,Yes,NA
587,Yes,-33.5934667,115.1873833,20141215,11:03:00,Geographe.Bay,Fished,NA,16.6,Lizzy,Yes,Yes,NA
592,Yes,-33.5185,115.4460167,20141216,11:15:00,Geographe.Bay,Fished,NA,12.3,Laura,Yes,Yes,NA
599,Yes,-33.5021167,115.4508,20141213,6:22:00,Geographe.Bay,Fished,NA,13.9,Laura,Yes,Yes,NA
602,Yes,-33.6202,115.25615,20141215,12:57:00,Geographe.Bay,Fished,NA,11.2,Lauren,Yes,Yes,NA
608,Yes,-33.4551833,115.4702833,20141216,9:01:00,Geographe.Bay,Fished,NA,16.7,Lauren,Yes,Yes,NA
